project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,status
Abadi,,gas_extraction_area,,,Indonesia,discovered,2030 (expected),,,,point,-9.1706,130.46,,https://www.gem.wiki/Abadi_Oil_and_Gas_Field_(Indonesia),proposed_plus
Adhi,,gas_extraction_area,Pakistan Petroleum Limited (39%);Oil and Gas Development Company Limited (50%);Pakistan Oilfields Limited (11%),Government of Pakistan (26.3%);PPL Employees Empowerment Trust (2.9%);Private Investors (9.8%);Oil and Gas Development Company Limited (50%);Attock Oil Company Limited (11%),Pakistan,operating,,,7.79,million boe/y,point,33.154,73.177,,https://www.gem.wiki/Adhi_Oil_and_Gas_Field_(Pakistan),operating
Aghar,,gas_extraction_area,Iran Central Oil Fields Company (100%),National Iranian Oil Company (100%),Iran,operating,1999,,42.95,million boe/y,point,28.595,52.795,,https://www.gem.wiki/Aghar_Gas_Field_(Iran),operating
Ahmedabad,,gas_extraction_area,Oil and Natural Gas Corporation (100%),Oil and Natural Gas Corporation (ONGC) (100%),India,operating,1961,,10.28,million boe/y,point,18.992,80.109,,https://www.gem.wiki/Ahmedabad_Oil_and_Gas_Block_(India),operating
Ande Ande Lumut,,gas_extraction_area,Mitsui & Co (100%),Mitsui & Co (100%),Indonesia,in-development,2024 (expected),,,,point,5.4744,105.85,,https://www.gem.wiki/Ande_Ande_Lumut_Oil_and_Gas_Field_(Indonesia),construction_plus
Ankleshwar,,gas_extraction_area,Oil and Natural Gas Corporation (100%),Oil and Natural Gas Corporation (ONGC) (100%),India,operating,,,13.57,million boe/y,point,21.634,72.834,,https://www.gem.wiki/Ankleshwar_Oil_and_Gas_Block_(India),operating
Anoa,,gas_extraction_area,Harbour Energy (28.7%);Kuwait Foreign Petroleum Exploration Company (33%);Petronas (14.3%);PTT (12%);Pertamina (12%),Harbour Energy (28.7%);Kuwait Petroleum Corporation (33%);Petroliam Nasional Berhad (Petronas) (14.3%);PTT PLC (12%);PT Pertamina (12%),Indonesia,operating,1990,,,,point,4.7416,5.7272,,https://www.gem.wiki/Anoa_Oil_and_Gas_Field_(Indonesia),operating
Anyue,,gas_extraction_area,,,China,operating,2014,,,,point,31.345,105.01,,https://www.gem.wiki/Anyue_Gas_Field_(China),operating
Arthit,,gas_extraction_area,"PTT Exploration and ‎‎Production Public Company Limited (PTTEP) (80%);Chevron Thailand (16%);MOECO Thailand Co.,Ltd (4%)",PTT PLC (80%);Chevron (16%);Mitsui & Co (4%),Thailand,operating,2008,,660.87,million boe/y,point,8.22,102.48,,https://www.gem.wiki/Arthit_Oil_and_Gas_Field_(Thailand),operating
Arung-Nowera,,gas_extraction_area,Medco E&P,MedcoEnergi,Indonesia,discovered,2023 (expected),,,,point,-2.9068,117.65,,https://www.gem.wiki/Arung-Nowera_Gas_Field_(Indonesia),proposed_plus
Asap/Merah/Kido (AMK),,gas_extraction_area,Genting Oil Kasuri Pty. Ltd (100%),Genting Berhad (100%),Indonesia,in-development,2025 (expected),,0.27,million boe/y,point,-2.4861,133.23,,https://www.gem.wiki/AsapMerahKido_(AMK)_Oil_and_Gas_Project_(Indonesia),construction_plus
Assam,,gas_extraction_area,Oil and Natural Gas Corporation (100%),Oil and Natural Gas Corporation (ONGC) (100%),India,operating,,,10.13,million boe/y,point,18.992,80.109,,https://www.gem.wiki/Assam_Oil_and_Gas_Block_(India),operating
B11,,gas_extraction_area,Shell Malaysia (50%);Petronas Carigali (50%),Shell plc (50%);Petroliam Nasional Berhad (Petronas) (50%),Malaysia,operating,2003,,,,point,4.7252,113.1,,https://www.gem.wiki/B11_Gas_Field_(Malaysia),operating
B14,,gas_extraction_area,,,Malaysia,discovered,,,,,point,4.3841,109.14,,https://www.gem.wiki/B14_Gas_Field_(Malaysia),proposed_plus
Badak,,gas_extraction_area,Pertamina (70%);VICO Indonesia (20%);TotalEnergies E&P Indonesie (10%),PT Pertamina (70%);Eni S.P.A. (10%);BP (10%);TotalEnergies (10%),Indonesia,operating,1977,,4.56,million boe/y,point,-0.3407,117.42,,https://www.gem.wiki/Badak_Oil_and_Gas_Field_(Indonesia),operating
Bakong,,gas_extraction_area,SapuraOMV (40%);Sarawak Shell Berhad (30%);Petronas Carigali (30%),OMV Aktiengesellschaft (20%);Sapura Energy Bhd (20%);Shell plc (30%);Petroliam Nasional Berhad (Petronas) (30%),Malaysia,operating,2020,,,,point,4.779,112.94,,https://www.gem.wiki/Bakong_Gas_Field_(Malaysia),operating
Balal,,gas_extraction_area,National Iranian Oil Company (100%),National Iranian Oil Company (100%),Iran,operating,2003,,14.60,million boe/y,point,26.303,52.536,,https://www.gem.wiki/Balal_Oil_and_Gas_Field_(Iran),operating
Balaroud,,gas_extraction_area,National Iranian Oil Company (100%),National Iranian Oil Company (100%),Iran,in-development,,,,,point,32.229,54.259,,https://www.gem.wiki/Balaroud_Oil_and_Gas_Field_(Iran),construction_plus
Bangka,,gas_extraction_area,Chevron (62%);Eni S.P.A. (20%);Tiptop Energy (18%),Chevron (62%);Eni S.P.A. (20%);Tiptop Energy Ltd. (18%),Indonesia,operating,2016,,,,point,-2.9068,117.65,,https://www.gem.wiki/Bangka_Oil_and_Gas_Field_(Indonesia),operating
Bao Vang,,gas_extraction_area,,,Vietnam,discovered,2023 (expected),,,,point,12.979,107.63,,https://www.gem.wiki/Bao_Vang_Gas_Field_(Vietnam),proposed_plus
Bassein & Satellite,,gas_extraction_area,Oil and Natural Gas Corporation (100%),Oil and Natural Gas Corporation (ONGC) (100%),India,operating,,,83.76,million boe/y,point,19.079,72.428,,https://www.gem.wiki/Bassein_&_Satellite_Oil_and_Gas_Block_(India),operating
Bayu Undan,,gas_extraction_area,,,Timor-Leste,operating,2004,,41.61,million boe/y,point,-9.0445,126.22,,https://www.gem.wiki/Bayu_Undan_Oil_and_Gas_Field_(East_Timor),operating
Bayu Undan,,gas_extraction_area,,,Timor-Leste,operating,2004,,41.61,million boe/y,point,-9.0445,126.22,,https://www.gem.wiki/Bayu_Undan_Oil_and_Gas_Field_(East_Timor),operating
Bhit-Badhra,,gas_extraction_area,Prime International Oil & Gas Co. (40%);Royal Dutch Shell (28%);Oil and Gas Development Company Limited (20%);Premier Oil Overseas B.V. (6%);Kuwait Foreign Petroleum Exploration Company Pakistan (6%),Hub Power (20%);Former Eni Employees (20%);Shell plc (nan%);Oil and Gas Development Company Limited (20%);Harbour Energy plc (6%);Kuwait Petroleum Corporation (6%),Pakistan,operating,2003,,1.85,million boe/y,point,28.73,68.483,,https://www.gem.wiki/Bhit-Badhra_Gas_Field_(Pakistan),operating
Bhola North,,gas_extraction_area,Bangladesh Petroleum Exploration (BAPEX),Bangladesh Petroleum Exploration (BAPEX),Bangladesh,discovered,,,,,point,22.722,90.441,,https://www.gem.wiki/Bhola_North_Gas_Field_(Bangladesh),proposed_plus
Binak,,gas_extraction_area,National Iranian Oil Company (100%),National Iranian Oil Company (100%),Iran,operating,1967,,5.52,million boe/y,point,29.762,50.379,,https://www.gem.wiki/Binak_Oil_and_Gas_Field_(Iran),operating
Block B,,gas_extraction_area,,,Vietnam,in-development,2025 (expected),,,,point,8.4658,103.93,,https://www.gem.wiki/Block_B_Oil_and_Gas_Project_(Vietnam),construction_plus
Bongkot Main,,gas_extraction_area,PTT Exploration and ‎‎Production Public Company Limited (PTTEP) (44.5%);TotalEnergies E&P Thailand (33.3%);BG Group (22%),PTT PLC (44.5%);TotalEnergies (33.3%);Shell plc (22%),Thailand,operating,1993,,432.76,million boe/y,point,7.829,102.58,,https://www.gem.wiki/Bongkot_Main_Oil_and_Gas_Field_(Thailand),operating
Bongkot South,,gas_extraction_area,PTT Exploration and ‎‎Production Public Company Limited (PTTEP) (44.5%);TotalEnergies E&P Thailand (33.3%);BG Group (22%),PTT PLC (44.5%);TotalEnergies (33.3%);Shell plc (22%),Thailand,operating,2012,,3.97,million boe/y,point,7.53,102.64,,https://www.gem.wiki/Bongkot_South_Oil_and_Gas_Field_(Thailand),operating
Bozhong 13-2,,gas_extraction_area,,,China,discovered,2023 (expected),,,,point,35.928,105.01,,https://www.gem.wiki/Bozhong_13-2_Oil_and_Gas_Field_(China),proposed_plus
Bozi 9,,gas_extraction_area,,,China,operating,2019,,0.90,million boe/y,point,39.345,79.167,,https://www.gem.wiki/Bozi_9_Oil_and_Gas_Field_(China),operating
Bukit Tua,,gas_extraction_area,Petronas (80%);Saka Ketapang Perdan (20%),Petroliam Nasional Berhad (Petronas) (80%);Perusahaan Gas Negara (20%),Indonesia,operating,2015,,6.00,million boe/y,point,-2.9068,117.65,,https://www.gem.wiki/Bukit_Tua_Oil_and_Gas_Field_(Indonesia),operating
